Metric,Strategy,Benchmark (^HSI),Tracker (2800.HK)
Strategy_Name,DNN Alpha Yield Strategy (HSI),N/A,N/A
Parameter_K,55,N/A,N/A
Parameter_N,1,N/A,N/A
Period_Start,2020-03-24,2020-03-24,2020-03-24
Period_End,2025-04-16,2025-04-16,2025-04-16
Cumulative Return,1.302888218052067,-0.10499379831562983,0.06113758307778272
Annualized Return,0.18409477074969627,-0.022237362563285124,0.012103281803638177
Annualized Volatility,0.3906124936513934,0.25495112787019275,0.25186061279383415
Sharpe Ratio,0.4712977023054305,-0.08722205996518352,0.04805547667568639
Sortino Ratio,0.48361135323361254,-0.08889210138061074,0.04807255951196707
Max Drawdown,-0.5831669441259518,-0.5275197639230567,-0.4938841213342164
Positive Days %,52.89389067524116,49.23572003218021,48.59211584875302
Trading Days,1244,1243,1243
Beta,-0.02289103246965664,1.0,N/A
Alpha (Jensen),0.23334511247949377,0.0,N/A
Correlation,-0.01496821533757711,1.0,N/A
Tracking Error,0.46903866389814153,0.0,N/A
