Metric,Strategy,Benchmark (^HSI),Tracker (2800.HK)
Strategy_Name,DNN Alpha Yield Strategy (HSI),N/A,N/A
Parameter_K,55,N/A,N/A
Parameter_N,1,N/A,N/A
Period_Start,2020-03-24,2020-03-24,2020-03-24
Period_End,2025-04-16,2025-04-16,2025-04-16
Cumulative Return,1.302888452517109,-0.10499379831562983,0.06113737979018152
Annualized Return,0.1840947951711689,-0.022237362563285124,0.012103242494504451
Annualized Volatility,0.3906124744620757,0.25495112787019275,0.2518605812189182
Sharpe Ratio,0.4712977879794838,-0.08722205996518352,0.04805532662526601
Sortino Ratio,0.48361144538607803,-0.08889210138061074,0.04807240321122692
Max Drawdown,-0.5831668916161801,-0.5275197639230567,-0.49388412133421783
Positive Days %,52.89389067524116,49.23572003218021,48.511665325824616
Trading Days,1244,1243,1243
Beta,-0.0228910082024487,1.0,N/A
Alpha (Jensen),0.23334512523077142,0.0,N/A
Correlation,-0.014968200208053393,1.0,N/A
Tracking Error,0.4690386445428344,0.0,N/A
